"title","creator","subjects","materialtype","usageclass","checkouts","checkoutmonth","publicationyear"
"The General of the Dead Army: A Novel","Ismail Kadare","Fiction","EBOOK","Digital","1","1","2012"
"ILLM Unsafe at any speed : the designed-in dangers of the American automobile",,,"BOOK","Physical","1","1",
"After the Sun","Jonas Eika","Fiction, Literature","EBOOK","Digital","1","1","2021"
"The Woman in White","Wilkie Collins","Classic Literature, Fiction","EBOOK","Digital","3","1","2011"
"Start Me Up","Victoria Dahl","Fiction, Romance","EBOOK","Digital","1","1","2011"
"Drawing Conclusions","Donna Leon","Fiction, Mystery","EBOOK","Digital","4","1","2014"
"Stranger","Megan Hart","Erotic Literature, Fiction","EBOOK","Digital","1","1","2011"
"Targeted","Stephen Hunter","Fiction, Suspense, Thriller","EBOOK","Digital","2","1","2022"
"Cake","Jove Belle","Fiction, Literature, LGBTQIA+ (Fiction)","EBOOK","Digital","1","1","2016"
"Lucky","Marissa Stapley","Fiction, Literature, Mystery","EBOOK","Digital","18","1","2021"
"Temple of No God","H.M. Long","Fantasy, Fiction, Mythology","EBOOK","Digital","1","1","2022"
"Damage Control","Michael Bowen","Fiction, Mystery","EBOOK","Digital","1","1","2016"
"The Archer (unabridged)","Paulo Coelho","Fiction, Literature","AUDIOBOOK","Digital","2","1","2020"
"Cast in Wisdom","Michelle Sagara","Fantasy, Fiction","EBOOK","Digital","1","1","2020"
"Deceiver","C. J. Cherryh","Fiction, Science Fiction","EBOOK","Digital","1","1","2013"
"See Me Dig","Paul Meisel","Juvenile Fiction, Juvenile Literature","EBOOK","Digital","4","1","2013"
"Plum Island (unabridged)","Nelson DeMille","Fiction","AUDIOBOOK","Digital","1","1","2008"
"Heaven's Spite","Lilith Saintcrow","Fantasy, Fiction","EBOOK","Digital","2","1","2013"
"Clean Getaway","Nic Stone","Juvenile Fiction","EBOOK","Digital","1","1","2020"
"A squash and a squeeze / story by Julia Donaldson ; illustrated by Axel Scheffler.","Donaldson, Julia","Dwellings Juvenile fiction, Crowding stress Juvenile fiction, Domestic animals Juvenile fiction, Humorous stories, Stories in rhyme, Dwellings Fiction, Crowding stress Fiction, Domestic animals Fiction, Humorous stories, Stories in rhyme, Humorous fiction, Stories in rhyme","BOOK","Physical","9","1","[2017]"
"Bagehot: The Life and Times of the Greatest Victorian (unabridged)","James Grant","Biography & Autobiography, History, Nonfiction","AUDIOBOOK","Digital","2","1","2019"
"Siren's call / Jayne Castle.","Castle, Jayne","Hotelkeepers Fiction, Psychic ability Fiction, Interpersonal attraction Fiction, Paranormal romance stories, Romantic suspense fiction","BOOK","Physical","1","1","2015."
"Atlas of Vanishing Places: The lost worlds as they were and as they are today  WINNER Illustrated Book of the Year--Edward Stanford Travel Writing Awards 2020","Travis Elborough","Reference, Sociology, Travel, Nonfiction","EBOOK","Digital","4","1","2021"
"Knit-knotters / by Sam Hay ; illustrated by Turine Tran.","Hay, Sam","Fairies Juvenile fiction, Eyeglasses Juvenile fiction, Magic Juvenile fiction, Hair Juvenile fiction","BOOK","Physical","3","1","[2016]"
"Q & U call it quits / written by Stef Wade ; illustrations by Jorge Martin.","Wade, Stef","English language Alphabet Juvenile fiction, Friendship Juvenile fiction, Alphabet Fiction, Picture books","BOOK","Physical","3","1","[2021]"
"Ghost lover : stories / Lisa Taddeo.","Taddeo, Lisa","Grief Fiction, Dating services Fiction, Love Fiction, Interpersonal relations Fiction, Short stories, Romance fiction","BOOK","Physical","7","1","2022."
"A is for arsenic : the poisons of Agatha Christie / Kathryn Harkup.","Harkup, Kathryn","Christie Agatha 1890 1976, Poisons Popular works","BOOK","Physical","1","1","2015."
"My Italian bulldozer / Alexander McCall Smith.","McCall Smith, Alexander, 1948-","Authors Fiction, Bulldozers Fiction, Italy Fiction, Humorous fiction, Road fiction","BOOK","Physical","1","1","[2017]"
"Hella / David Gerrold.","Gerrold, David, 1944-","Space colonies Fiction, Extrasolar planets Fiction, Refugees Fiction, Emigration and immigration Fiction, Neurobehavioral disorders Patients Fiction, Conspiracies Fiction, Science fiction","BOOK","Physical","1","1","[2020]"
"My worst book ever! / by Allan Ahlberg ; with pictures by Bruce Ingman.","Ahlberg, Allan","Authorship Juvenile fiction, Imagination Juvenile fiction, Crocodiles Juvenile fiction, Books and reading Juvenile fiction, Publishers and publishing Juvenile fiction","BOOK","Physical","2","1","[2018]"
"Our planet! : there's no place like Earth / by Earth (with Stacy McAnulty) ; illustrated by Earth (and David Litchfield).","McAnulty, Stacy","Earth Planet Juvenile literature, Climatic changes Juvenile literature, Environmental protection Juvenile literature, Solar system Juvenile literature, Earth Planet, Climatic changes, Environmental protection, Solar system, Creative nonfiction, Instructional and educational works, Picture books","BOOK","Physical","10","1","2022."
"Beach house memories / Mary Alice Monroe.","Monroe, Mary Alice","Reminiscing in old age Fiction, Self realization in women Fiction, Marriage Fiction, Abused wives Fiction, Man woman relationships Fiction, Loggerhead turtle Fiction, Mothers and daughters Fiction, Marital conflict Fiction, Adultery Fiction, Summer Fiction, Biologists Fiction, Social classes Fiction, South Carolina Fiction, Isle of Palms S C Fiction, Romance fiction, Domestic fiction","BOOK","Physical","1","1","2012."
"Here comes-- Daredevil. [Vol. 6] / [writer, Mark Waid ; letterer, VC's Joe Caramagna].","Waid, Mark, 1962-","Hulk Fictitious character Comic books strips etc, Rodr¡guez Javier 1972, Graphic novels, Science fiction comic books strips etc, Superhero comic books strips etc","BOOK","Physical","1","1","[2013]"
"The evil secret society of cats. 1 / story & art by Pandania ; translation, Alethea & Athena Nibley ; lettering, Bambi Eloriaga-Amago, Roland Amago.","Pandania","Cats Comic books strips etc, Secret societies Comic books strips etc, Conspiracies Comic books strips etc, Cats Fiction, Secret societies Fiction, Cartoons and comics, Humorous comics, Graphic novels","BOOK","Physical","12","1","[2022]"
"Field notes from an unintentional birder : a memoir / by Julia Zarankin.","Zarankin, Julia, 1974-","Zarankin Julia 1974, Bird watchers Biography, Bird watching, Autobiographies","BOOK","Physical","1","1","[2020]."
"Dreams Lie Beneath","Rebecca Ross","Fantasy, Folklore, Young Adult Fiction","EBOOK","Digital","2","1","2021"
"The truth about cancer : what you need to know about cancer's history, treatment, and prevention / Ty M. Bollinger.","Bollinger, Ty M.","Cancer History, Cancer Treatment, Cancer Prevention","BOOK","Physical","1","1","[2016]"
"Our Mathematical Universe: My Quest for the Ultimate Nature of Reality","Max Tegmark","History, Mathematics, Science, Nonfiction","EBOOK","Digital","5","1","2014"
"Hungry girl clean & hungry : obsessed! : all-natural recipes for the foods you can't live without / Lisa Lillien.","Lillien, Lisa","Cooking Natural foods, Women Health and hygiene, Cookbooks","BOOK","Physical","1","1","2017."
"Do Androids Dream of Electric Sheep?","Philip K. Dick","Fiction, Science Fiction","EBOOK","Digital","28","1","2009"
"Sense and sensibility.","Austen, Jane, 1775-1817",,"BOOK","Physical","2","1","1905."
"Vanished!","James Ponti","Juvenile Fiction, Juvenile Literature, Mystery, Humor (Fiction)","EBOOK","Digital","3","1","2017"
"The line that held us / David Joy.","Joy, David, 1983-","Revenge Fiction, Hunting accidents Fiction, Thrillers Fiction","BOOK","Physical","1","1","[2018]"
"Fastest Things on Wings: Rescuing Hummingbirds in Hollywood","Terry Masear","Biography & Autobiography, Nature, Nonfiction","EBOOK","Digital","1","1","2015"
"Blood for Blood: Wolf by Wolf Series, Book 2","Ryan Graudin","Science Fiction & Fantasy, Historical Fiction, Young Adult Fiction, Young Adult Literature","EBOOK","Digital","1","1","2016"
"Being at Your Best When Your Kids Are at Their Worst: Practical Compassion in Parenting","Kim John Payne","Education, Family & Relationships, Psychology, Nonfiction","EBOOK","Digital","3","1","2019"
"Slewfoot: A Tale of Bewitchery","Brom","Fantasy, Fiction, Horror, Historical Fiction","EBOOK","Digital","5","1","2021"
"Walks and treks in Croatia : mountain trails and national parks, including Velebit, Dinara and Plitvice / by Rudolf Abraham.","Abraham, Rudolf","Walking Croatia Guidebooks, Croatia Guidebooks","BOOK","Physical","1","1","2019."
"Consumed : the need for collective change : colonialism, climate change, and consumerism / Aja Barber.","Barber, Aja","Consumer movements, Consumption Economics, Clothing trade Moral and ethical aspects, Climatic changes","BOOK","Physical","1","1","2021."
"The Uncommon Reader: A Novella","Alan Bennett","Fiction, Literature","EBOOK","Digital","8","1","2013"
"Operation Sock Drawer: The Guide to Building Your Stash of Hand-Knit Socks","Knitmore Girls","Crafts, Nonfiction","EBOOK","Digital","1","1","2020"
"The Year's Best Dark Fantasy & Horror, 2013 Edition","Paula Guran","Fantasy, Fiction, Horror, Short Stories","EBOOK","Digital","1","1","2015"
"Write for Life: Creative Tools for Every Writer (A 6-Week Artist's Way Program) (unabridged)","Julia Cameron","Writing, Language Arts, Self-Improvement, Nonfiction","AUDIOBOOK","Digital","4","1","2023"
"The Essential Questions: Interview Your Family to Uncover Stories and Bridge Generations (unabridged)","Elizabeth Keating, PhD","Family & Relationships, Sociology, Nonfiction","AUDIOBOOK","Digital","6","1","2022"
"The Third Nero: Flavia Albia Mystery Series, Book 5 (unabridged)","Lindsey Davis","Fiction, Mystery, Historical Fiction","AUDIOBOOK","Digital","1","1","2017"
"Kiki Kallira breaks a kingdom / Sangu Mandanna.","Mandanna, Sangu","Kallira Kiki Fictitious character Juvenile fiction, Anxiety disorders Juvenile fiction, East Indians Juvenile fiction, Hindu mythology Juvenile fiction, Drawing Therapeutic use Juvenile fiction, Imagination Juvenile fiction, Imaginary places Juvenile fiction, Imaginary wars and battles Juvenile fiction, Adventure stories, Fantasy fiction, Mythological fiction, Magic realist fiction","BOOK","Physical","2","1","2021."
"Original story by : a memoir of Broadway and Hollywood / Arthur Laurents.","Laurents, Arthur","Laurents Arthur Juvenile literature, Dramatists American 20th century Biography Juvenile literature, Motion picture producers and directors United States Biography Juvenile literature, Theatrical producers and directors United States Biography Juvenile literature, Screenwriters United States Biography Juvenile literature, Broadway New York N Y Social life and customs Juvenile literature, Hollywood Los Angeles Calif Social life and customs Juvenile literature","BOOK","Physical","1","1","[2000]"
"Sneaky Beak / by Tracey Corderoy ; illustrated by Tony Neal.","Corderoy, Tracey","Materialism Juvenile fiction, Sales personnel Juvenile fiction, Bears Juvenile fiction, Hamsters Juvenile fiction, Picture books for children, Picture books","BOOK","Physical","6","1","2019."
"The Song that Never Ends","Steven Banks","Juvenile Fiction, Juvenile Literature, Humor (Fiction)","EBOOK","Digital","1","1","2013"
"Danger! Wizard at Work!: Dragon Slayers' Academy Series, Book 11","Kate McMullan","Fantasy, Juvenile Fiction, Juvenile Literature","EBOOK","Digital","1","1","2013"
"Star Daughter (unabridged)","Shveta Thakrar","Fantasy, Romance, Young Adult Fiction, Young Adult Literature","AUDIOBOOK","Digital","2","1","2020"
"The Human Stain: A Novel","Philip Roth","Fiction, Literature","EBOOK","Digital","2","1","2012"
"The dance of the dissident daughter : a woman's journey from Christian tradition to the sacred feminine / Sue Monk Kidd.","Kidd, Sue Monk","Kidd Sue Monk, Spiritual biography United States, Feminists United States Biography, Feminist theology, Feminism Religious aspects","BOOK","Physical","1","1","2016."
"The magic boat / Kit Pearson & Katherine Farris ; illustrated by Gabrielle Grimard.","Pearson, Kit, 1947-","Boats and boating Fiction, Bashfulness Juvenile fiction, Friendship Juvenile fiction, Imagination Juvenile fiction, Picture books","BOOK","Physical","3","1","2019."
"Catherine the Great: Portrait of a Woman (unabridged)","Robert K. Massie","Biography & Autobiography, History, Nonfiction","AUDIOBOOK","Digital","3","1","2011"
"Myths and legends : ancient Egypt / by Lewis Spence.","Spence, Lewis, 1874-1955","Egypt Religion, Egypt Antiquities","BOOK","Physical","1","1","[between 1900-1999]"
"Hello (From Here)","Chandler Baker","Romance, Young Adult Fiction, Young Adult Literature","EBOOK","Digital","1","1","2021"
"How to get a green card / Ilona Bray, J.D.","Bray, Ilona M., 1962-","Aliens United States Popular works, Emigration and immigration law United States Popular works, Green cards, Law for laypersons","BOOK","Physical","1","1","2020."
"The Most Fun Thing: Dispatches from a Skateboard Life","Kyle Beachy","Family & Relationships, Sports & Recreations, Nonfiction","EBOOK","Digital","1","1","2021"
"Vrooom, vrooom! / Mary Lyn Ray ; illustrated by Julien Chung.","Ray, Mary Lyn","Automobiles Juvenile fiction, Automobiles Fiction, Automobile driving Fiction, Imagination Fiction","BOOK","Physical","6","1","[2021]"
"Still me / Jojo Moyes.","Moyes, Jojo, 1969-","Young women Fiction, Man woman relationships Fiction, Long distance relationships Fiction, Rich people Fiction, Life change events Fiction, New York N Y Fiction, Romance fiction, Domestic fiction","BOOK","Physical","4","1","[2018]"
"The hero Schliemann : the dreamer who dug for Troy / Laura Amy Schlitz ; illustrated by Robert Byrd.","Schlitz, Laura Amy","Schliemann Heinrich 1822 1890 Juvenile literature, Archaeologists Germany Biography Juvenile literature, Excavations Archaeology Greece History 19th century Juvenile literature, Excavations Archaeology Turkey Troy Extinct city Juvenile literature, Archaeologists Juvenile literature, Excavations Archaeology Juvenile literature, Mycenae Extinct city Juvenile literature, Troy Extinct city Juvenile literature, Greece Civilization To 146 B C Juvenile literature","BOOK","Physical","1","1","2006."
"The death of the heart / Elizabeth Bowen.","Bowen, Elizabeth, 1899-1973","Young women England London Fiction, Separation Psychology Fiction, Adolescence Fiction, Love stories","BOOK","Physical","1","1","2000."
"An introduction to the study of the Maya hieroglyphs / Sylvanus Griswold Morley ; with a new introd. and bibliography by J. Eric S. Thompson.","Morley, Sylvanus Griswold, 1883-1948","Mayan languages Writing, Maya calendar, Maya language","BOOK","Physical","1","1","1975."
"Realm of the blue mist / Amy Kim Kibuishi.","Kibuishi, Amy Kim, 1980-","Fathers and daughters Comic books strips etc, Death Comic books strips etc, Magic Comic books strips etc, Life on other planets Comic books strips etc, Fathers and daughters Juvenile fiction, Death Juvenile fiction, Magic Juvenile fiction, Life on other planets Juvenile fiction, Cartoons and comics, Science fiction comics, Fantasy comics, Graphic novels, Comics Graphic works","BOOK","Physical","11","1","2022."
"Murder, Death and Frozen Peas: The Dramatic Life of a Demon Princess, #2","Mina Carter","Fantasy, Fiction, Romance, Humor (Fiction)","EBOOK","Digital","1","1","2020"
"Furoshiki and the Japanese art of gift wrapping / Tomoko Kakita ; photography by Stephanie McLeod ; [illustrations, Kuo Kang Chen].","Kakita, Tomoko","Gift wrapping Japan, Gift wraps Japan, Handbooks and manuals","BOOK","Physical","1","1","2021."
"Solid Ivory: Memoirs","James Ivory","Biography & Autobiography, Performing Arts, Nonfiction","EBOOK","Digital","2","1","2021"
"Estate Planning (in Plain English)","Leonard D. DuBoff","Law, Nonfiction","EBOOK","Digital","2","1","2020"
"The Unknown Errors of Our Lives: Stories","Chitra Banerjee Divakaruni","Fiction, Literature, Short Stories","EBOOK","Digital","1","1","2013"
"The Disaster Tourist: A Novel (unabridged)","Yun Ko-eun","Fiction, Literature, Thriller","AUDIOBOOK","Digital","3","1","2021"
"The complete short novels / Anton Chekhov ; translated from the Russian by Richard Pevear and Larissa Volokhonsky ; with an introduction by Richard Pevear.","Chekhov, Anton Pavlovich, 1860-1904","Chekhov Anton Pavlovich 1860 1904 Translations into English","BOOK","Physical","1","1","2004."
"Capital Crimes: London Mysteries","Martin Edwards","Fiction, Mystery, Short Stories, Historical Fiction","EBOOK","Digital","2","1","2019"
"NPR Driveway Moments Cat Tales: Radio Stories That Won't Let You Go (unabridged, performance)","NPR","Performing Arts, Pets, Nonfiction, Humor (Nonfiction)","AUDIOBOOK","Digital","2","1","2012"
"Diary of a Minecraft zombie. book 2, [Bullies and buddies] / Zack Zombie.","Zombie, Zack (Fictitious character)","Minecraft Game Juvenile fiction, Zombies Juvenile fiction, Video game characters Juvenile fiction, Video games Juvenile fiction, Diary fiction","BOOK","Physical","2","1","[2015]"
"Dear Papa: The Letters of Patrick and Ernest Hemingway (unabridged)","Ernest Hemingway","Biography & Autobiography, Literary Criticism, Nonfiction","AUDIOBOOK","Digital","1","1","2022"
"Four funerals and maybe a wedding / Rhys Bowen.","Bowen, Rhys","London England History 20th century Fiction, Aristocracy Social class England Fiction, Women spies Fiction, Large type books, Rannoch Georgie Fictitious character Fiction, Detective and mystery fiction, Historical fiction","BOOK","Physical","1","1","2018."
"The prize winner of Defiance, Ohio : how my mother raised 10 kids on 25 words or less / Terry Ryan ; foreword by Suze Orman.","Ryan, Terry, 1946-2007","Ryan Evelyn Family, Ryan family, Prize contests in advertising, Large type books, Defiance Ohio Biography","BOOK","Physical","1","1","2001."
"I hate everyone, except you / Clinton Kelly.","Kelly, Clinton","Kelly Clinton, Television personalities United States Biography","BOOK","Physical","1","1","2017."
"The Sacred Book of the Werewolf: A Novel","Victor Pelevin","Fantasy, Fiction, Literature, Romance","EBOOK","Digital","1","1","2011"
"The plains / Gerald Murnane ; [introduced by Ben Lerner].","Murnane, Gerald, 1939-","Families Australia Fiction, Plains Australia Fiction, Australia Social life and customs Fiction","BOOK","Physical","2","1","2017."
"Dark Justice: Sean Dillon Series, Book 12","Jack Higgins","Fiction, Mystery, Thriller","EBOOK","Digital","1","1","2013"
"Becoming a supple leopard : the ultimate guide to resolving pain, preventing injury, and optimizing athletic performance / Kelly Starrett ; with Glen Cordoza.","Starrett, Kelly","Exercise, Physical education and training, Sports injuries Prevention, Sports Physiological aspects","BOOK","Physical","3","1","2013."
"It's Your Funeral!: Plan the Celebration of a Lifetime—Before It's Too Late","Kathy Benjamin","Reference, Self-Improvement, Nonfiction, Humor (Nonfiction)","EBOOK","Digital","1","1","2021"
"Tut, Tut: Time Warp Trio Series, Book 6","Jon Scieszka","Fantasy, Juvenile Fiction, Juvenile Literature, Historical Fiction","EBOOK","Digital","1","1","2011"
"Stop that virus! / by Scott Emmons ; illustrated by Nikolas Ilic.","Emmons, Scott","Viruses Juvenile literature, Virus diseases Juvenile literature, Medicine Preventive Juvenile literature, Readers Publications, Picture books, Adaptations","BOOK","Physical","13","1","[2021]"
"Passions of a Wicked Earl: London's Greatest Lovers Series, Book 1","Lorraine Heath","Fiction, Literature, Romance, Historical Fiction","EBOOK","Digital","3","1","2011"
"Dragon meets Boy / Michael Slack.","Slack, Michael H., 1969-","Toys Juvenile fiction, Dragons Juvenile fiction, Friendship Juvenile fiction, Imagination Juvenile fiction, Growth Juvenile fiction, Adventure stories, Picture books","BOOK","Physical","5","1","2020."
"Willy viaggia nel mondo quadrato (unabridged)","Jeffrey Archer","Fantasy, Juvenile Fiction, Folklore","AUDIOBOOK","Digital","1","1","2022"
"Woe is I : the grammarphobe's guide to better English in plain English / Patricia T. O'Conner.","O'Conner, Patricia T.","English language Grammar Handbooks manuals etc, English language Usage Handbooks manuals etc","BOOK","Physical","1","1","[2019]"
"Ben and Beatriz (unabridged)","Katalina Gamarra","Fiction, Romance, Humor (Fiction)","AUDIOBOOK","Digital","3","1","2022"
"Heavy Metal: The Hard Days and Nights of the Shipyard Workers Who Build America's Supercarriers (unabridged)","Michael Fabey","History, Transportation, Military, Nonfiction","AUDIOBOOK","Digital","1","1","2022"
"The thoughtful gardener / Jinny Blom.","Blom, Jinny","Gardening, Gardens Design, Landscape gardening","BOOK","Physical","1","1","2017."
"The Sleeping Dictionary","Sujata Massey","Fiction, Literature, Historical Fiction","EBOOK","Digital","1","1","2015"
"The fortunes of jaded women : a novel / Carolyn Huynh.","Huynh, Carolyn","Vietnamese Americans Fiction, Sisters Fiction, Blessing and cursing Fiction, Families Fiction, Orange County Calif Fiction, Domestic fiction, Novels","BOOK","Physical","18","1","2022."
"Mi vida y mi cárcel con Pablo Escobar : el testimonio de la esposa del narco más peligroso del mundo / Victoria Eugenia Henao.","Henao, Victoria Eugenia","Escobar Pablo Family, Escobar Pablo, Henao Victoria Eugenia, Drug dealers Colombia Biography, Drug traffic Colombia History 20th century, Biographies, Autobiographies","BOOK","Physical","1","1","2019."
"Under the great plum tree / Sufiya Ahmed ; Reza Dalvand.","Ahmed, Sufiya","Tales India Juvenile literature, Legends India Juvenile literature, Fairy tales India, Folklore India, Monkeys, Crocodiles, Fables","BOOK","Physical","3","1","2020."
"Hunting for a Highlander / Lynsay Sands.","Sands, Lynsay","Single women Fiction, Brothers Fiction, Highlands Scotland Fiction, Romance fiction, Historical fiction","BOOK","Physical","1","1","[2020]"
"The flora and fauna of the Pacific Northwest coast / Collin Varner.","Varner, Collin","Coastal plants Northwest Pacific, Coastal animals Northwest Pacific, Coastal ecology Northwest Pacific, Coastal plants British Columbia, Coastal animals British Columbia, Coastal ecology British Columbia","BOOK","Physical","2","1","[2018]"
"Adult children of alcoholics / Janet Geringer Woititz.","Woititz, Janet Geringer","Adult children of alcoholics, Alcoholics Family relationships","BOOK","Physical","1","1","[1990?]"
"Lesbian Couples: A Guide to Creating Healthy Relationships","D. Merilee Clunis","Family & Relationships, LGBTQIA+ (Nonfiction), Sociology, Nonfiction","EBOOK","Digital","1","1","2010"
"Against white feminism : notes on disruption / Rafia Zakaria.","Zakaria, Rafia, 1978-","Feminism, Feminism Moral and ethical aspects, Womens rights Moral and ethical aspects, Women white Civil rights, Minority women Civil rights","BOOK","Physical","5","1","[2021]"
"The untamed witch : reclaim your instincts, rewild your craft, create your most powerful magick / Lidia Pradas, author of The complete grimoire ; illustrations by Nata Vedana.","Pradas, Lidia","Witchcraft, Magic","BOOK","Physical","1","1","2022."
"Trapped Under the Sea: One Engineering Marvel, Five Men, and a Disaster Ten Miles Into the Darkness (unabridged)","Neil Swidey","History, Technology, True Crime, Nonfiction","AUDIOBOOK","Digital","2","1","2014"
"The Blue Tattoo: The Life of Olive Oatman (unabridged)","Margot Mifflin","Biography & Autobiography, History, Nonfiction","AUDIOBOOK","Digital","2","1","2016"
"Slow Birding: The Art and Science of Enjoying the Birds in Your Own Backyard","Joan E. Strassmann","Nature, New Age, Nonfiction","EBOOK","Digital","9","1","2022"
"An incurable case of love. 7 / story & art by Maki Enjoji ; [translation, JN Productions ; touch-up art & lettering, Inori Fukuda Trant].","Enjoji, Maki","Nurse and physician Comic books strips etc, Man woman relationships Comic books strips etc, Hospitals Comic books strips etc, Comic books strips etc Japan Translations into English, Romance comics, Graphic novels, Comics Graphic works","BOOK","Physical","1","1","[2021]"
"Indigo dreaming / written by Dinah Johnson ; illustrated by Anna Cunha.","Johnson, Dinah","Girls Black Juvenile fiction, African diaspora Juvenile fiction, Gullah girls Juvenile fiction, Group identity Juvenile fiction, Picture books","BOOK","Physical","8","1","[2022]"
"I Am Brave!: Princess Truly Series, Book 5","Kelly Greenawalt","African American Fiction, Juvenile Fiction, Juvenile Literature","EBOOK","Digital","2","1","2022"
"Which country has the world's best health care? / Ezekiel J. Emanuel.","Emanuel, Ezekiel J., 1957-","Medical care Evaluation, Medical care, Health services accessibility, Medical care Quality control, Health care reform, Health services administration, Health insurance, Delivery of Health Care, Quality Assurance Health Care","BOOK","Physical","4","1","2020."
"Year of Wonders: A Novel of the Plague (unabridged)","Geraldine Brooks","Fiction, Historical Fiction","AUDIOBOOK","Digital","15","1","2010"
"Fatal Cajun festival / Ellen Byron.","Byron, Ellen","Bed and breakfast accommodations Fiction, Murder Investigation Fiction, Country music festivals Fiction, Louisiana Fiction, Detective and mystery fiction","BOOK","Physical","1","1","2019."
"Clause of death / Lorna Barrett.","Barrett, Lorna","Miles Tricia Fictitious character Fiction, Bookstores Fiction, Murder Investigation Fiction, Large type books, Detective and mystery fiction","BOOK","Physical","1","1","2022."
"Essays Two: On Proust, Translation, Foreign Languages, and the City of Arles","Lydia Davis","Literary Criticism, Nonfiction","EBOOK","Digital","2","1","2021"
"The way of the house husband. 6 / [story and art by] Kousuke Oono ; [translation, Amanda Haley ; English adaptation, Jennifer LeBlanc ; touch-up art & lettering, Bianco Pistillo].","Oono, Kousuke","Househusbands Comic books strips etc, Yakuza Comic books strips etc, Gangsters Comic books strips etc, Ex gang members Comic books strips etc, Graphic novels Japan, Graphic novels, Domestic comics, Humorous comics","BOOK","Physical","1","1","[2021]"
"Dress code : unlocking fashion from the new look to millennial pink / Véronique Hyland.","Hyland, Véronique","Fashion Social aspects, Fashion History 21st century, Fashion design Social aspects, Fashion design History 21st century, Clothing and dress Social aspects, Clothing and dress History 21st century, Clothing trade Social aspects, Clothing trade History 21st century","BOOK","Physical","3","1","[2022]"
"The Second Plane: September 11: Terror and Boredom","Martin Amis","History, Politics, Sociology, Nonfiction","EBOOK","Digital","1","1","2008"
"The Price of the Haircut: Stories","Brock Clarke","Fiction, Literature, Short Stories, Humor (Fiction)","EBOOK","Digital","1","1","2018"
"Quackery: A Brief History of the Worst Ways to Cure Everything","Lydia Kang","History, Medical, Nonfiction, Humor (Nonfiction)","EBOOK","Digital","4","1","2017"
"Self-made boys : a Great Gatsby remix / Anna-Marie McLemore.","McLemore, Anna-Marie","Transgender people Juvenile fiction, Rich people Juvenile fiction, First loves Juvenile fiction, Nineteen twenties Juvenile fiction, Transgender people Fiction, Rich people Fiction, First loves Fiction, Nineteen twenties Fiction, Transgender fiction, Gay fiction, Psychological fiction, Romance fiction, Novels","BOOK","Physical","1","1","2022."
"Victoria the Violin Fairy: Rainbow Magic: The Music Fairies Series, Book 6","Daisy Meadows","Juvenile Fiction, Juvenile Literature","EBOOK","Digital","1","1","2015"
"Seven wonders of ancient Central and South America / Michael Woods and Mary B. Woods.","Woods, Michael, 1946-","Indians of Central America Antiquities Juvenile literature, Indians of South America Antiquities Juvenile literature","BOOK","Physical","1","1","[2009]"
